id,average_draft_position,first_name,last_name,injury_status,years_experience,headshot_url
4431453,287.0,Deuce,Vaughn,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4431453.png
4243389,287.0,Calvin,AustinIII,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4243389.png
3121409,288.0,Noah,Brown,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3121409.png
4569603,290.0,Malik,Washington,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4569603.png
4039607,290.0,J.J.,Taylor,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4039607.png
3045523,292.5,Kendrick,Bourne,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3045523.png
4428718,292.5,Tre,Tucker,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4428718.png
4567156,293.0,Treylon,Burks,injured_reserve,3,https://a.espncdn.com/i/headshots/nfl/players/full/4567156.png
3930066,293.0,Van,Jefferson,,5,https://a.espncdn.com/i/headshots/nfl/players/full/3930066.png
4361516,294.5,Daniel,Bellinger,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4361516.png
4690013,296.0,Rasheen,Ali,questionable,0,https://a.espncdn.com/i/headshots/nfl/players/full/4690013.png
4887558,297.0,Emanuel,Wilson,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4887558.png
4426485,298.0,Jonathan,Mingo,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4426485.png
3122976,300.0,Jeff,Wilson,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3122976.png
4360078,301.0,Alec,Pierce,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4360078.png
3115306,303.0,Josh,Reynolds,injured_reserve,7,https://a.espncdn.com/i/headshots/nfl/players/full/3115306.png
19,306.0,Los Angeles,Rams,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lar.png
4382466,306.0,Jalen,Nailor,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4382466.png
3916566,308.0,K.J.,Osborn,,5,https://a.espncdn.com/i/headshots/nfl/players/full/3916566.png
18,310.5,Los Angeles,Chargers,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lac.png
15,311.0,Jacksonville,Jaguars,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png
2998565,316.0,Mo,Alie-Cox,,7,https://a.espncdn.com/i/headshots/nfl/players/full/2998565.png
